sex,Age,Married,Number_children,education_level,total_members,gained_asset,durable_asset,save_asset,living_expenses,other_expenses,incoming_salary,incoming_own_farm,incoming_business,incoming_no_business,incoming_agricultural,farm_expenses,labor_primary,lasting_investment,no_lasting_investmen
1,21,1,1,10,3,87776993,16447784,33632278,44042268,12011527,0,1,0,0,28026898,90086454,0,30270325,34202826.0
1,20,1,2,10,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,36,0,4,10,6,16521257,23862901,23399979,26692283,48062126,0,0,1,0,86082611,88751841,0,297591,11611143.0
1,28,1,4,9,6,36815194,21461941,15440609,51597334,54571583,0,0,0,0,52193078,41785693,0,12987519,54054847.06137024
1,22,1,2,7,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,41,1,5,9,9,21300443,22861940,16875435,12865682,24983976,0,0,1,1,77407622,64506352,0,2512729,45821753.0
1,41,1,8,9,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,32,1,2,8,4,84080696,22861940,50591408,26692283,54452257,0,0,0,0,30028818,31363432,0,90613319,66730708.0
1,27,1,2,8,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,23,1,3,10,5,83646683,22741826,2162075,60591483,55413181,1,0,0,0,13679795,64450741,1,36151337,31001976.0
1,69,0,0,2,2,14535571,28423201,20932382,21747980,12653336,0,0,0,0,57123788,49527319,0,46625525,33075489.483634464
1,30,1,1,9,3,81923103,10409991,23399979,21353827,41639962,0,1,0,0,2936151,22688441,0,2548891,28961127.0
1,25,1,3,10,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,37,1,7,10,9,22684436,44602805,18257523,20019212,21140289,0,1,0,1,65396094,74515963,0,68248163,30613825.0
1,46,0,0,12,1,388964,61659176,23399979,58189178,16335678,1,0,0,0,71535316,74115577,1,11096556,28231541.0
1,37,1,5,10,8,28912201,18177444,23399979,21086905,25640608,0,0,0,0,42707653,29984334,0,18898135,67887378.0
1,41,0,0,11,1,18192484,14125557,23399979,20019212,4724534,0,0,1,0,10409991,34900162,0,19656289,10696933.0
0,36,1,4,9,7,19542606,15226293,1881898,10950345,25548179,0,0,0,0,13333124,10134068,0,38886338,50968383.80388518
1,49,1,4,8,6,16440749,25518098,36328451,20381556,13346266,0,0,0,0,96122255,98190286,0,25108850,1897565.2192359373
1,20,1,2,10,4,36531058,11210759,16456747,14387141,17136446,0,1,0,1,39771502,3942428,0,41031378,50755151.0
1,25,1,4,7,6,22119089,45674540,23399979,70168669,24073031,0,0,0,0,11727528,84917047,0,24193492,27729375.184635844
1,24,1,2,9,4,61954716,16175523,23399979,77407622,45355526,0,0,1,1,84080696,62281995,0,22370995,14235884.0
1,22,1,2,8,4,28912201,2152648,23399979,28008113,24277909,0,0,0,0,26485530,10551615,0,14768157,30520115.883118466
1,26,1,2,10,4,34433044,22861940,48181631,90753761,94490685,1,0,0,0,66730709,30384715,1,434354,46400084.0
1,34,0,5,8,7,17728420,18659550,23399979,22004009,20171999,0,1,0,0,66080525,21997730,0,31976820,71286139.47915754
1,81,0,0,1,4,28803854,22890297,23399979,26692283,28082492,0,0,0,0,30244710,31415946,0,28557016,28372071.89446603
1,32,0,4,9,7,11127757,10807566,85149749,20532750,54277932,0,0,0,1,93422986,43174769,0,22739309,14770854.64296332
1,43,1,3,10,5,20651573,19298521,23399979,60057635,68866091,1,0,0,0,50715337,42262781,1,28970978,25046258.0
1,48,1,3,9,5,12390944,27706589,23399979,21353826,54452259,0,1,0,0,53384566,4448714,0,32949524,97871695.0
1,28,1,3,8,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,17,1,4,9,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,40,0,6,10,8,86736603,17264569,23399979,66730709,89205612,0,1,0,1,80076847,11544412,0,27539764,12632123.0
0,69,0,0,4,1,94914682,23056867,14882557,33130179,3669005,0,0,0,0,41031065,27499750,0,95692812,28238421.661497366
1,30,0,4,7,5,60057636,22861940,99694153,46711493,27418314,0,0,1,1,46711493,47801433,0,75651657,68354492.0
1,24,1,2,10,4,28912201,14173602,12812296,53384566,42600883,0,1,0,1,16682676,19240687,0,14974371,32993889.0
1,28,1,3,9,5,19693267,21922448,85539927,29330356,35769749,0,0,0,0,27256580,16485636,0,17510118,13928421.085562339
1,34,0,0,1,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,48,0,3,7,7,31201211,27218412,16213657,14896668,24390421,0,0,0,0,26003709,40215828,0,44221536,46852956.074043356
1,41,0,3,4,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,30,1,2,10,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,27,1,4,9,6,18060427,43554277,23562944,20548661,17212843,0,1,0,0,36201393,35918225,0,26011815,77911439.61544554
1,34,1,6,10,8,42263324,7555373,23399979,13589236,10468785,0,1,0,0,45545812,64259401,0,14041164,3609425.858542798
1,23,1,1,10,3,22375139,23782825,23399979,60724945,22869947,0,0,0,0,25090746,60680456,1,2722149,15677267.0
1,32,0,4,10,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,27,1,2,10,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,21,1,2,9,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,19,1,1,9,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,41,1,4,10,7,61954716,24743747,11210759,2936151,81838539,0,0,0,1,66730709,32253177,1,31179449,1554047.0
1,65,1,0,10,2,24508919,62700172,48046112,26692283,51249185,0,1,0,0,10676913,88974279,0,32924994,56943541.0
